text,intent,label
you need to call the melt in lakewood for a table for at 200 monday the first week in march,restaurant_reservation,8
hey computer make a reservation for 2 for my parents at red lobster on wednseday next 200pm if possible,restaurant_reservation,8
i think we should reserve dads regular table friday for 6 people use his name make that close to 400 pm at the club,restaurant_reservation,8
listen i need to get a reservation for me and teresa at georgetown cafe on tuesday at 700 pm,restaurant_reservation,8
can you make me a reservation for 4 pm on the 22nd at ruths,restaurant_reservation,8
i need a reservation at 8 on the 22nd of november at ruths,restaurant_reservation,8
can i make a reservation for 6 pm on the 21st at sidetracks,restaurant_reservation,8
please reserve me a table at hells kitchen on may 3rd at 8 pm,restaurant_reservation,8
please reserve me a table for 2 pm at maxwells on the 14th,restaurant_reservation,8
can you make a reservation for me at the restaurant,restaurant_reservation,8
can you make a reservation at the restaurant for tomorrow,restaurant_reservation,8
can you book a table at the restaurant for me and my husband,restaurant_reservation,8
can you make a reservation at the restaurant for tonight,restaurant_reservation,8
can you get me a table for 6 at marks at 11am,restaurant_reservation,8
can you get me a table for 1 at the vega at 1pm,restaurant_reservation,8
can you get a table for 5 at joes at 5pm,restaurant_reservation,8
can you get me a table for 3 at captain ds at 2pm,restaurant_reservation,8
can you get me a table for 2 at mexico viejo at 3pm,restaurant_reservation,8
can you get me a table for 2 at diablo,restaurant_reservation,8
can you get me a table for 5 at johnnys,restaurant_reservation,8
can you get me a table for 8 at johnnys,restaurant_reservation,8
can you get me a table for 6 at johnnys,restaurant_reservation,8
can you get me a table for 4 at steves,restaurant_reservation,8
reserve a table for 3 at outback steakhouse under the name lance at 700pm,restaurant_reservation,8
reserve a table for 4 at red lobster under the name dave at 730pm,restaurant_reservation,8
reserve a table for 6 at mortons under the name jaime at 830pm,restaurant_reservation,8
can you get me a table for 3 at olive garden at 7pm,restaurant_reservation,8
book a reservation for 6 at shakeys under the name jason,restaurant_reservation,8
reserve a table for 5 at lawrys under the name steve at 800pm,restaurant_reservation,8
book a reservation for 5 at lawrys under the name chris,restaurant_reservation,8
reserve a table for 2 at olive garden under the name jim at 600pm,restaurant_reservation,8
book a reservation for 4 at outback steakhouse under the name dave,restaurant_reservation,8
can you get me a table for 5 at outback steakhouse at 630pm,restaurant_reservation,8
book a reservation for 3 at red lobster under the name steve,restaurant_reservation,8
book a reservation for 2 at olive garden under the name jim,restaurant_reservation,8
can you get me a table for 8 at mastros at 830pm,restaurant_reservation,8
can you get me a table for 4 at red lobster at 8pm,restaurant_reservation,8
can you get me a table for 6 at lawrys at 730pm,restaurant_reservation,8
is it possible to get a table for 4 at the village inn around 10am,restaurant_reservation,8
can you get me a table for 5 at mcdonalds at 5pm,restaurant_reservation,8
give me a table for 3 at oreillys bar for 7 please,restaurant_reservation,8
can i have a table held at the outback steakhouse for johnson at 5,restaurant_reservation,8
is it possible to book a room at the taco bell for reavers at 3,restaurant_reservation,8
id like to set up a reservation for kibble at 4,restaurant_reservation,8
can i reserve a table for 2 at the olive garden at 8,restaurant_reservation,8
i want to reserve a table at 8 at long john silvers under the name freddie,restaurant_reservation,8
i want to have a table for 2 at the broadmore around 6,restaurant_reservation,8
